iter	MAE	RMSE
882	631239.0757	945464.1851
883	630972.6532	944862.5739
884	630813.8999	944660.6507
885	630554.8331	944325.037
886	630052.7589	943237.7583
887	629545.6717	942395.1539
888	629259.4792	942002.6283
889	628791.2911	941230.6058
890	627828.9911	940129.5097
891	627443.3309	939343.6795
892	627235.7796	938956.1383
893	626739.5623	938226.4623
894	626424.1694	937748.8814
895	625726.1574	936532.8382
896	625320.5838	936114.8623
897	625009.4424	935695.7801
898	624372.9143	934192.3344
899	624019.0365	933396.3861
900	623412.4667	932405.4652
901	623003.0894	931691.5448
902	622694.3522	931288.6087
903	621912.0846	930591.0064
904	621734.6434	930124.506
905	621369.3326	929683.4849
906	620437.9288	928390.092
907	619613.1751	926816.7736
908	618935.2235	925974.0274
909	618454.3653	924994.5707
910	618258.8364	924607.8095
911	617876.7359	923852.8195
912	617695.0371	923478.2603
913	617419.1783	923127.2278
914	617259.9344	922909.4197
915	616437.0484	921610.685
916	616414.6995	921576.9054
917	616204.8709	921146.9039
918	615947.3337	920726.8863
919	615261.5453	919432.2045
920	615187.3967	919302.5747
921	614459.3455	917697.7373
922	613829.5838	916630.6832
923	613349.6333	915928.9318
924	612766.7876	915052.1325
925	612320.8741	914242.8196
926	611568.385	913027.7436
927	611183.7404	911873.4427
928	610538.1935	910545.6113
929	610383.9273	910295.4887
930	609941.1894	909651.3193
931	609673.8843	909241.2932
932	609444.4608	908967.1471
933	609144.9891	908431.0004
934	608498.2248	907002.1039
935	607806.5481	906069.3898
936	607512.3297	905524.8238
937	607221.3272	904916.2022
938	606645.9704	903527.1235
939	606068.3904	902232.0574
940	605924.7998	901961.1431
941	605573.1611	901022.6657
942	605475.882	900929.99
943	605083.3272	900139.84
944	604878.5713	899932.1784
945	604126.1277	898425.6883
946	603611.346	897804.8197
947	603053.0428	896982.4468
948	602429.7103	895742.0428
949	601737.4162	894465.3158
950	601436.2086	894032.8895
951	601293.2082	893805.8499
952	600810.888	893176.4018
953	600168.9685	892167.6196
954	599766.4273	891415.5971
955	599510.6318	890938.4805
956	598855.6807	890024.1201
957	598305.6989	889154.8168
958	597958.3949	888790.8023
959	597584.1837	887769.9316
960	597220.7341	887190.8477
961	596700.3504	886434.7125
962	596596.2969	886189.2925
963	596580.2364	886156.1393
964	596297.8647	885894.9439
965	596162.5232	885620.6288
966	595393.9997	883996.8386
967	594906.182	883473.2286
968	594754.1509	883199.5866
969	594066.1418	882113.4371
970	593331.7656	881225.0795
971	592531.536	879432.506
972	592431.388	879278.1789
973	591725.7313	878213.2678
974	591538.6107	877856.4462
975	591339.5437	877502.6383
976	591118.6141	877137.7738
977	590393.2911	875732.2931
978	590358.138	875701.3317
979	590038.5718	874750.1175
980	589772.4175	874515.8975
981	589545.0575	874259.0377
982	588902.979	873194.7678
983	588329.9376	872469.5201
